"Tipo";"Tipo residencia";"Razón social";"Nombre";"Primer apellido";"Segundo apellido";"Dirección";"Código postal";"Poblacion";"Provincia";"Correo";"Contacto adicional";"Correo envio";"WSEndpointEfaktur";"WSOperation";"WSNamespace";"WSNodename";"Descripcion Departamento";"Departamento";"CIF";"Archivo Datos Contratante";"WSEndpointFACe";"FACe";;
0;0;"ARABAKO BILTZAR NAGUSIAK - JUNTAS GENERALES DE ALAVA";;;;" Vicente Goicoechea, 2";1008;"VITORIA-GASTEIZ";"Araba";"efactura@jjggalava.es";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P5100002D";"http://www.araba.eus/facturae/xml/AFA_PGEFE_P5100002D.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;;
0;0;"DIPUTACIÓN FORAL DE ÁLAVA";;;;"Plaza de la Provincia, s/n";1001;"VITORIA-GASTEIZ";"Araba";"efaktura@araba.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0100000I";"http://www.araba.eus/facturae/xml/AFA_PGEFE_P0100000I.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;;
0;0;"GAZTEDIAREN FORU ERAKUNDEA - INSTITUTO FORAL DE LA JUVENTUD";;;;"Plaza de la Provincia 5";1001;"VITORIA-GASTEIZ";"Araba";"ifj@araba.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P5100001F";"http://www.araba.eus/facturae/xml/AFA_PGEFE_P5100001F.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;;
0;0;"GIZARTE ONGIZATERAKO FORU ERAKUNDEA - INSTITUTO FORAL DE BIENESTAR SOCIAL";;;;"General Álava 10-5º Oficina 3";1005;"VITORIA-GASTEIZ";"Araba";"ifbs@araba.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"G01019124";"http://www.araba.eus/facturae/xml/AFA_PGEFE_G01019124.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;;
0;0;"ARABAKO FORU SUHILTZAILEAK - BOMBEROS FORALES DE ALAVA";;;;"Plaza de la Provincia 5";1001;"VITORIA-GASTEIZ";"Araba";"bomberosforales@araba.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"Q0100587E";"http://www.araba.eus/facturae/xml/AFA_PGEFE_Q0100587E.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;;
0;0;"Alegria-Dulantziko Udala / Ayuntamiento de Alegria-Dulantzi";;;;"Herriko Plaza 1";1240;"Alegria-Dulantzi";"Araba";"aalegria.general@ayto.alava.net ";;;;;;;;;"P0100100G";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010014_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Amurrioko Udala / Ayuntamiento de Amurrio";;;;"Juan de Urrutia Plaza 21";1470;"Amurrio";"Araba";"amurrio@amurrio.org ";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P0100200E";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L01010029.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Añanako Udala / Ayuntamiento de Añana";;;;"Plaza Miguel Díaz Tuesta 3 B";1426;"Salinas de Añana";"Araba";"aanana.teresa@ayto.alava.net ";;;;;;;;;"P0105500C";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010493_xml_OC_OG_UT_DFA.xml";;0;0;
0;0;"Añanako Kuadrilla / Cuadrilla de Añana";;;;"Plaza de los Fueros 11";1213;"Rivabellosa";"Araba";"anana@cuadrilladeanana.es";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P5100006E";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L06160003.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Arabako Lautadako Kuadrilla / Cuadrilla de la Llanada Alavesa";;;;"Plaza de la Senda de Langarica, 4";1200;"AGURAIN";"Araba";"info@arabakolautada.eus";;;"https://www.araba.eus/SCGFFACE/services/WSCGFFacturaEle";"uploadFile";"http://ccasa.es/facturae";"uploadFileReturn";;;"P5100003B";"http://www.araba.eus/facturae/xml/AFA_PGEFE_L06160001.XML";"https://www.araba.eus/FacturaeProv/FacturaeProvService";3;0;
0;0;"Aramaioko Udala / Ayuntamiento de Aramaio";;;;"Bixente Goikoetxea Enparantza 1";1160;"Ibarra";"Araba";"udala@aramaio.org ";;;;;;;;;"P0100400A";"https://udalenegoitza.alava.net/portal/documentos/ef4ktur/L01010035_xml_OC_OG_UT_DFA.xml";;0;0;
